county_clean,year,fips_code,county,year_month,cust_hours_out,max_customers_out,n_intervals,mcc,has_mcc,max_pct_out,n_new,stock,stock_total,pre2014_stock,n_unknown,stock_capacity_mw,stock_area_sqft,cum_capacity_mw,cum_area_sqft
BAKER,2016,12003,Baker,2016-07,1948,178,430,15917,1,0.0111830118740969,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-08,1921.75,635,352,15917,1,0.0398944524721995,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-09,55269.25,2612,431,15917,1,0.164101275365961,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-10,40188.25,2965,611,15917,1,0.18627882138594,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-11,831.75,247,179,15917,1,0.0155179996230445,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-12,179,32,137,15917,1,0.00201042910096124,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-01,2221,498,208,15917,1,0.0312873028837092,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-02,3242,327,149,15917,1,0.0205440723754476,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-03,744.5,1350,87,15917,1,0.0848149776968022,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-04,2516,2343,230,15917,1,0.147201105736006,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-05,2963.5,1702,439,15917,1,0.106929697807376,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-06,2023.5,221,563,15917,1,0.0138845259785135,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-07,13560.25,2321,601,15917,1,0.145818935729095,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-08,3508.5,1358,602,15917,1,0.0853175849720425,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-09,618694.25,15787,1253,15917,1,0.991832631777345,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-10,1068.5,103,486,15917,1,0.00647106866871898,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-11,303,40,179,15917,1,0.00251303637620155,0,0,0,0,0,0,0,0,0
BAKER,2017,12003,Baker,2017-12,4216.5,1354,257,15917,1,0.0850662813344223,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-01,40085,5851,535,15917,1,0.367594395928881,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-02,736.75,503,278,15917,1,0.0316014324307344,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-03,1159.75,1365,1000,15917,1,0.0857573663378777,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-04,1218,219,299,15917,1,0.0137588741597035,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-05,1310.25,373,758,15917,1,0.0234340642080794,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-06,3072,279,808,15917,1,0.0175284287240058,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-07,10026.75,1780,794,15917,1,0.111830118740969,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-08,4325.5,1385,619,15917,1,0.0870138845259785,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-09,2066.25,279,504,15917,1,0.0175284287240058,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-10,782.25,393,332,15917,1,0.0246905823961802,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-11,3725.5,1015,354,15917,1,0.0637682980461142,0,0,0,0,0,0,0,0,0
BAKER,2018,12003,Baker,2018-12,1093.5,369,332,15917,1,0.0231827605704593,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-01,127.25,124,186,15917,1,0.00779041276622479,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-02,2706,1331,314,15917,1,0.0836212854181064,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-03,1916.25,370,291,15917,1,0.0232455864798643,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-04,16610.5,2813,508,15917,1,0.176729283156374,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-05,5574,1337,492,15917,1,0.0839982408745366,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-06,4163,1376,499,15917,1,0.0864484513413332,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-07,8298.5,1427,633,15917,1,0.0896525727209902,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-08,4756,1339,735,15917,1,0.0841238926933467,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-09,2889.75,519,533,15917,1,0.0326066469812151,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-10,2892.5,1377,516,15917,1,0.0865112772507382,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-11,493,278,264,15917,1,0.0174656028146007,0,0,0,0,0,0,0,0,0
BAKER,2019,12003,Baker,2019-12,3709.75,1416,356,15917,1,0.0889614877175347,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-01,1878.5,334,245,15917,1,0.0209838537412829,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-02,12689,1963,517,15917,1,0.123327260162091,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-03,1837.75,428,572,15917,1,0.0268894892253565,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-04,4067.5,926,606,15917,1,0.0581767921090658,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-05,2038.25,520,537,15917,1,0.0326694728906201,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-06,16189,5107,866,15917,1,0.320851919331532,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-07,5052.75,1362,626,15917,1,0.0855688886096626,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-08,3271.25,430,741,15917,1,0.0270151410441666,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-09,11870.25,2145,616,15917,1,0.134761575673808,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-10,1309.25,280,404,15917,1,0.0175912546334108,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-11,8314,2129,467,15917,1,0.133756361123327,0,0,0,0,0,0,0,0,0
BAKER,2020,12003,Baker,2020-12,8322.25,2378,389,15917,1,0.149400012565182,0,0,0,0,0,0,0,0,0
BAKER,2021,12003,Baker,2021-01,1160.75,289,214,15917,1,0.0181566878180562,0,0,0,0,0,0,0,0,0
BAKER,2021,12003,Baker,2021-02,4761.25,1370,352,15917,1,0.0860714958849029,0,0,0,0,0,0,0,0,0
